,idx,text_preview,target_lang,system,sim_mode,alpha_bpe,beta_emb,choice_1_lang,choice_1_weight,choice_2_lang,choice_2_weight,choice_3_lang,choice_3_weight,top_score,safety_fallback,loss,ppl,avg_logprob,entropy,tokens
0,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,base,none,,,,,,,,,,False,1.9901182651519775,7.316398986183671,-1.9901182651519775,1.9901182651519775,33
1,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,fixed_mix50:hi+pa+bn,fixed_mix_50_50,0.5,0.5,hi,0.7,pa,0.15,bn,0.15,0.16509831559222415,False,2.0393636226654053,7.68571662642183,-2.0393636226654053,2.0393636226654053,33
2,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,base,none,,,,,,,,,,False,0.9539365768432617,2.5959085653019476,-0.9539365768432617,0.9539365768432617,46
3,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2602131491307081,False,1.0489155054092407,2.8545536907585065,-1.0489155054092407,1.0489155054092407,46
4,2,ऐसे में इसे रकम की जरूरत होगी।,hi,base,none,,,,,,,,,,False,3.079240322113037,21.741879295952625,-3.079240322113037,3.079240322113037,18
5,2,ऐसे में इसे रकम की जरूरत होगी।,hi,fixed_mix50:hi+tr+pa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,pa,0.15,0.28992117212749136,False,3.2273786067962646,25.21347583127943,-3.2273786067962646,3.2273786067962646,18
6,3,घायलों को अस्पताल में देर से मिला इलाज,hi,base,none,,,,,,,,,,False,2.2988617420196533,9.96283572101834,-2.2988617420196533,2.2988617420196533,20
7,3,घायलों को अस्पताल में देर से मिला इलाज,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2617094764266075,False,2.2057321071624756,9.076894395328777,-2.2057321071624756,2.2057321071624756,20
8,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,base,none,,,,,,,,,,False,2.7382829189300537,15.460415504999709,-2.7382829189300537,2.7382829189300537,20
9,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2732158044133247,False,2.8878538608551025,17.954734863651662,-2.8878538608551025,2.8878538608551025,20
10,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,base,none,,,,,,,,,,False,2.4535889625549316,11.63001158376906,-2.4535889625549316,2.4535889625549316,26
11,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,fixed_mix50:hi+tr+ms,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,ms,0.15,0.2800440044853748,False,2.604060173034668,13.518514266357133,-2.604060173034668,2.604060173034668,26
12,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,base,none,,,,,,,,,,False,2.444606304168701,11.52601096300883,-2.444606304168701,2.444606304168701,24
13,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.28618374855852735,False,2.4826364517211914,11.972788522606853,-2.4826364517211914,2.4826364517211914,24
14,7,यह कोई आसान व सहज बात नहीं थी।,hi,base,none,,,,,,,,,,False,3.7879796028137207,44.16707503600818,-3.7879796028137207,3.7879796028137207,15
15,7,यह कोई आसान व सहज बात नहीं थी।,hi,fixed_mix50:hi+tr+fa,fixed_mix_50_50,0.5,0.5,hi,0.7,tr,0.15,fa,0.15,0.2773001482490362,False,3.6566827297210693,38.732642877978385,-3.6566827297210693,3.6566827297210693,15
16,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,base,none,,,,,,,,,,False,1.5403486490249634,4.6662168593757105,-1.5403486490249634,1.5403486490249634,57
17,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,fixed_mix50:hi+pa+bn,fixed_mix_50_50,0.5,0.5,hi,0.7,pa,0.15,bn,0.15,0.16941094847561822,False,1.5145560503005981,4.547401860963336,-1.5145560503005981,1.5145560503005981,57
18,9,‘राम जन्मभूमि पर अगर राम का मंदिर नहीं बनेगा तो किसका बनेगा?,hi,base,none,,,,,,,,,,False,1.9173260927200317,6.8027442212409035,-1.9173260927200317,1.9173260927200317,32
19,9,‘राम जन्मभूमि पर अगर राम का मंदिर नहीं बनेगा तो किसका बनेगा?,hi,fixed_mix50:hi+bn+pa,fixed_mix_50_50,0.5,0.5,hi,0.7,bn,0.15,pa,0.15,0.16165962837427564,False,1.6628528833389282,5.274336467713346,-1.6628528833389282,1.6628528833389282,32
20,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.34717157337325766,ur,0.32642749376321506,fa,0.32640093286352734,0.03131437191098929,False,1.8936243057250977,6.64340282408287,-1.8936243057250977,1.8936243057250977,33
21,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5191169111067562,bn,0.41683424961387266,ar,0.06404883927937127,0.36015263199806213,False,2.0143609046936035,7.49593523302189,-2.0143609046936035,2.0143609046936035,33
22,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.4694108420564763,bn,0.40923378220751677,ar,0.12135537573600677,0.24461784219524008,False,2.009242534637451,7.457666283451654,-2.009242534637451,2.009242534637451,33
23,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,pa,0.4227570174750914,bn,0.3914705990882158,ar,0.1857723834366928,0.16509831559222415,False,2.013761520385742,7.491443633302138,-2.013761520385742,2.013761520385742,33
24,0,प्रदेश के युवाओं को निजी उद्योगों में 75 प्रतिशत आरक्षण देंगे।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,pa,0.3662366003761273,bn,0.36021353978078985,ar,0.27354985984308283,0.08557878898920829,False,1.9920003414154053,7.330181973297256,-1.9920003414154053,1.9920003414154053,33
25,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.7373788226661472,ms,0.14068324904749693,fa,0.12193792828635595,0.49682402481716237,False,1.0429348945617676,2.8375326647906887,-1.0429348945617676,1.0429348945617676,46
26,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5873426228986028,bn,0.34004154503421463,ur,0.07261583206718253,0.34226635098457336,False,0.9858940839767456,2.6802071437415775,-0.9858940839767456,0.9858940839767456,46
27,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.418318799623373,fa,0.2936308749427717,bn,0.28805032543385545,0.23133429514663098,False,0.9599061012268066,2.6114512498415867,-0.9599061012268066,0.9599061012268066,46
28,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.39388650948553766,fa,0.3354047123830244,ar,0.27070877813143795,0.2602131491307081,False,0.9649695754051208,2.624707799588296,-0.9649695754051208,0.9649695754051208,46
29,1,डेरा प्रमुख गुरमीत राम रहीम को पंचकूला कोर्ट ने यौन शोषण मामले में दोषी करार दिया है.,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.587821171662492,fa,0.2413492307904435,ar,0.17082959754706456,0.35367738573307717,False,0.9950125217437744,2.7047582093566773,-0.9950125217437744,0.9950125217437744,46
30,2,ऐसे में इसे रकम की जरूरत होगी।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.9983079220610095,pa,0.0008629560132441923,bn,0.0008291219257463146,0.49682402481716237,False,3.27821683883667,26.52842604001813,-3.27821683883667,3.27821683883667,18
31,2,ऐसे में इसे रकम की जरूरत होगी।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.6132190076419126,bn,0.35922252143845534,ar,0.027558470919632,0.43922358751296997,False,3.090294122695923,21.983542883877657,-3.090294122695923,3.090294122695923,18
32,2,ऐसे में इसे रकम की जरूरत होगी।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.5040185842918974,bn,0.34815136906080224,tr,0.14783004664730054,0.2971694372603847,False,3.111027479171753,22.44409339603059,-3.111027479171753,3.111027479171753,18
33,2,ऐसे में इसे रकम की जरूरत होगी।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.6739652125945627,pa,0.18398282396620597,bn,0.1420519634392315,0.28992117212749136,False,3.1721293926239014,23.858233851635102,-3.1721293926239014,3.1721293926239014,18
34,2,ऐसे में इसे रकम की जरूरत होगी।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.9608728645927772,pa,0.021002050227292793,bn,0.018125085179930063,0.36853139723146877,False,3.261991500854492,26.101466509523192,-3.261991500854492,3.261991500854492,18
35,3,घायलों को अस्पताल में देर से मिला इलाज,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.7373788226661472,ms,0.14068324904749693,fa,0.12193792828635595,0.49682402481716237,False,2.2200911045074463,9.20816973343741,-2.2200911045074463,2.2200911045074463,20
36,3,घायलों को अस्पताल में देर से मिला इलाज,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5215515621959668,bn,0.3900834415323828,ar,0.08836499627165052,0.32022491097450256,False,2.3809566497802734,10.815244317667947,-2.3809566497802734,2.3809566497802734,20
37,3,घायलों को अस्पताल में देर से मिला इलाज,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.36430630487877425,ar,0.3203976550638072,fa,0.31529604005741846,0.2163543893829639,False,2.1786530017852783,8.834398321768896,-2.1786530017852783,2.1786530017852783,20
38,3,घायलों को अस्पताल में देर से मिला इलाज,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.3925458443940579,fa,0.32620024687805677,ar,0.2812539087278853,0.2617094764266075,False,2.0918853282928467,8.100172261408776,-2.0918853282928467,2.0918853282928467,20
39,3,घायलों को अस्पताल में देर से मिला इलाज,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.5874311520267969,fa,0.238262444193523,ar,0.17430640377968015,0.3544255493810268,False,2.1464202404022217,8.554181608458878,-2.1464202404022217,2.1464202404022217,20
40,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.7373788226661472,ms,0.14068324904749693,fa,0.12193792828635595,0.49682402481716237,False,2.912799119949341,18.40825342866171,-2.912799119949341,2.912799119949341,20
41,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5351726238156803,bn,0.39653215359529814,ar,0.0682952225890216,0.34941789507865906,False,2.66939377784729,14.43121801644025,-2.66939377784729,2.66939377784729,20
42,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.3859545601348753,bn,0.31962391174916205,fa,0.2944215281159628,0.23651638998315977,False,2.6160404682159424,13.681444082589104,-2.6160404682159424,2.6160404682159424,20
43,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.4113719176454626,fa,0.32306364577271124,ar,0.2655644365818262,0.2732158044133247,False,2.7425005435943604,15.525759435978095,-2.7425005435943604,2.7425005435943604,20
44,4,पुलिस ने उनकी कॉल डीटेल्स मंगवाईं।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.5966736440146246,fa,0.23526929293501678,ar,0.1680570630503587,0.36017871337438545,False,2.801051616668701,16.46194933198859,-2.801051616668701,2.801051616668701,20
45,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.83911090001023,ms,0.16009253872762202,pa,0.0007965612621479472,0.49682402481716237,False,2.608262300491333,13.575440307803937,-2.608262300491333,2.608262300491333,26
46,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5831687175193403,bn,0.3722373918784076,ar,0.044593890602252155,0.3806565999984741,False,2.4454097747802734,11.535275495477647,-2.4454097747802734,2.4454097747802734,26
47,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.47052515908855563,bn,0.3371230865908189,tr,0.19235175432062532,0.2591118532350796,False,2.4458329677581787,11.54015817615075,-2.4458329677581787,2.4458329677581787,26
48,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.635918337084818,ms,0.2209906273857185,pa,0.14309103552946345,0.2800440044853748,False,2.5661873817443848,13.016104282366413,-2.5661873817443848,2.5661873817443848,26
49,5,शहर भर में हर कहीं कचरे का अंबार नजऱ आता है।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.7689791179974663,ms,0.2151042929120159,pa,0.01591658909051787,0.3635928134104105,False,2.5949575901031494,13.396019225567073,-2.5949575901031494,2.5949575901031494,26
50,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.7373788226661472,ms,0.14068324904749693,fa,0.12193792828635595,0.49682402481716237,False,2.485830068588257,12.011086143391928,-2.485830068588257,2.485830068588257,24
51,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5569463707700602,bn,0.39413566244637704,ar,0.04891796678356288,0.39689916372299194,False,2.476011276245117,11.893728878892867,-2.476011276245117,2.476011276245117,24
52,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.4249080167700227,bn,0.3353674488299273,ar,0.23972453440005004,0.2681431463841133,False,2.424424886703491,11.295731225638253,-2.424424886703491,2.424424886703491,24
53,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.433099751732695,fa,0.30044677251493185,ar,0.2664534757523731,0.28618374855852735,False,2.358738422393799,10.577598569872848,-2.358738422393799,2.358738422393799,24
54,6,इन छात्रों में से कई छात्रों को चोट भी आई है।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.6063799257637201,fa,0.22471718601311785,ms,0.16890288822316207,0.36666268544698677,False,2.45621657371521,11.660610915968448,-2.45621657371521,2.45621657371521,24
55,7,यह कोई आसान व सहज बात नहीं थी।,hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.7373788226661472,ms,0.14068324904749693,fa,0.12193792828635595,0.49682402481716237,False,3.682567834854126,39.74833028678239,-3.682567834854126,3.682567834854126,15
56,7,यह कोई आसान व सहज बात नहीं थी।,hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.5284543004688913,bn,0.41467084548448147,ar,0.05687485404662725,0.3670438230037689,False,3.7870686054229736,44.126857267815836,-3.7870686054229736,3.7870686054229736,15
57,7,यह कोई आसान व सहज बात नहीं थी।,hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.4005473234860478,bn,0.3396773360021592,ar,0.259775340511793,0.24783726839516307,False,3.7649219036102295,43.16033506188854,-3.7649219036102295,3.7649219036102295,15
58,7,यह कोई आसान व सहज बात नहीं थी।,hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,tr,0.422735191507634,fa,0.3102221393246301,ar,0.2670426691677358,0.2773001482490362,False,3.5973591804504395,36.501712615140285,-3.5973591804504395,3.5973591804504395,15
59,7,यह कोई आसान व सहज बात नहीं थी।,hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,tr,0.599009250848417,fa,0.22831654841288015,ms,0.1726742007387028,0.3622208852922412,False,3.6587016582489014,38.81092030732196,-3.6587016582489014,3.6587016582489014,15
60,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,adaptive:bpe_only,bpe_only,1.0,0.0,tr,0.37055853728781424,ms,0.36747856008181706,bn,0.26196290263036875,0.0383030215141299,False,1.5129979848861694,4.540322228096009,-1.5129979848861694,1.5129979848861694,57
61,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,adaptive:emb_only,emb_only,0.0,1.0,pa,0.524978126047923,bn,0.4137900238711457,ar,0.06123185008093124,0.36835476756095886,False,1.5060245990753174,4.508770946978431,-1.5060245990753174,1.5060245990753174,57
62,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,adaptive:mix_25_75,mix_25_75,0.25,0.75,pa,0.47560646460666367,bn,0.4127930374640407,ar,0.11160049792929562,0.2504651196402406,False,1.496826171875,4.467487508099192,-1.496826171875,1.496826171875,57
63,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,adaptive:mix_50_50,mix_50_50,0.5,0.5,pa,0.4321463477803252,bn,0.40329714621125134,ar,0.1645565060084235,0.16941094847561822,False,1.4906893968582153,4.440155493361229,-1.4906893968582153,1.4906893968582153,57
64,8,"उन्होंने पार्टी आयोजित की, जिसमें करीना कपूर, करिश्मा कपूर, मलाइका अरोड़ा और अर्जुन कपूर सहित कई हस्तियां नज़र आईं।",hi,adaptive:mix_75_25,mix_75_25,0.75,0.25,bn,0.3766879699824764,pa,0.37538573175858214,tr,0.24792629825894127,0.08859919176203597,False,1.5274289846420288,4.606318669042876,-1.5274289846420288,1.5274289846420288,57
